"","reference","species","compound","Mother_tissue","Mother_concentration","Mother_concentration_cen","Offspring_concentration","Offspring_concentration_cen","log_Kow_KOWWIN","logKOW_exp","logKOW_VEGA","Mol_Weigth_g.mol","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","RotatableBondCount","TopologicalPolarSurfaceArea","HeavyAtomCount","FormalCharge","Complexity","Volume","CASRN","PCB_coplanar","PCB_fourCl","PCB_twopara","PCB_twometa","compound_class_broad"
"90","Basile et al 2011","M. terrapin","PCB 209","liver_concentration",10.2194357366771,FALSE,4.31734317343173,FALSE,10.2,8.27,NA,"498.6",0,0,1,0,22,0,326,290.81,"2051-24-3","---","---","--","-","PCB - Polychlorinated biphenyls"
"91","Basile et al 2011","M. terrapin","PBDE 100","liver_concentration",5.61128526645768,FALSE,5.74415744157442,FALSE,7.66,NA,NA,"564.7",0,1,2,9.2,18,0,265,253.86,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"92","Basile et al 2011","M. terrapin","PBDE 155","liver_concentration",2.60188087774295,FALSE,2.16482164821648,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,252,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"93","Basile et al 2011","M. terrapin","PBDE 154","liver_concentration",5.8307210031348,FALSE,4.31734317343173,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,292,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"94","Basile et al 2011","M. terrapin","PBDE 153","liver_concentration",7.36677115987461,FALSE,5.00615006150061,FALSE,8.55,NA,NA,"643.6",0,1,2,9.2,19,0,276,271.75,NA,NA,NA,NA,NA,"HFR - Halogenated flame retardants"
"95","Basile et al 2011","M. terrapin","HCB","liver_concentration",1.84952978056426,FALSE,0.4920049200492,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"96","Basile et al 2011","M. terrapin","Oxychlordane","liver_concentration",74.9216300940439,FALSE,83.0258302583026,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"97","Basile et al 2011","M. terrapin","PCB 74","liver_concentration",31.3479623824451,FALSE,42.4354243542435,FALSE,6.34,6.67,NA,"292",0,0,1,0,16,0,225,209.59,"32690-93-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"98","Basile et al 2011","M. terrapin","PCB 66","liver_concentration",21.5673981191223,FALSE,35.5473554735547,FALSE,6.34,6.31,NA,"292",0,0,1,0,16,0,233,209.59,"32598-10-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"99","Basile et al 2011","M. terrapin","PCB 99","liver_concentration",120.689655172414,FALSE,167.281672816728,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"100","Basile et al 2011","M. terrapin","p,p'-DDE","liver_concentration",162.382445141066,FALSE,199.261992619926,FALSE,5.87,NA,NA,"318",0,0,2,0,18,0,269,237.01,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
